normalized_name,inci_name,canonical_name,thai_names,synonyms,cas_number,pubchem_cid,canonical_smiles,inchi,inchikey,molecular_formula,molecular_weight,substance_type,structure_status,qsar_eligible,assessment_method,regulatory_status_th,provenance,verification_status,registry_version
"((1-methyl-1,2-ethanediyl)bis(nitrilobis(methylene)))tetrakis(phosphonic acid)",,"((1-Methyl-1,2-ethanediyl)bis(nitrilobis(methylene)))tetrakis(phosphonic acid)",[],[],,3794919,CC(CN(CP(=O)(O)O)CP(=O)(O)O)N(CP(=O)(O)O)CP(=O)(O)O,"InChI=1S/C7H22N2O12P4/c1-7(9(5-24(16,17)18)6-25(19,20)21)2-8(3-22(10,11)12)4-23(13,14)15/h7H,2-6H2,1H3,(H2,10,11,12)(H2,13,14,15)(H2,16,17,18)(H2,19,20,21)",JSGPOBBEVFKQTL-UHFFFAOYSA-N,C7H22N2O12P4,450.1510000000001,defined_single_substance,resolved,true,qsar,null,"{""identity_verification"":{""cid"":3794919,""method"":""pubchem_cid_direct_structure"",""source"":""PubChem PUG REST"",""screening_envelope"":{""mw"":[30.0,500.0],""heavy_atoms"":[2,36]}},""offline_seed"":""pubchem-registry-20260724-v1""}",verified,1
((2-methyl-1-(1-oxopropoxy)propoxy)(4-phenylbutyl)phosphinyl) acetic acid,,((2-Methyl-1-(1-oxopropoxy)propoxy)(4-phenylbutyl)phosphinyl) acetic acid,[],[],,15170591,CCC(=O)OC(OP(=O)(CCCCc1ccccc1)CC(=O)O)C(C)C,"InChI=1S/C19H29O6P/c1-4-18(22)24-19(15(2)3)25-26(23,14-17(20)21)13-9-8-12-16-10-6-5-7-11-16/h5-7,10-11,15,19H,4,8-9,12-14H2,1-3H3,(H,20,21)",BGHVPSAAFKIBID-UHFFFAOYSA-N,C19H29O6P,384.40900000000005,defined_single_substance,resolved,true,qsar,null,"{""identity_verification"":{""cid"":15170591,""method"":""pubchem_cid_direct_structure"",""source"":""PubChem PUG REST"",""screening_envelope"":{""mw"":[30.0,500.0],""heavy_atoms"":[2,36]}},""offline_seed"":""pubchem-registry-20260724-v1""}",verified,1
((4-phenylbutyl)hydroxyphosphoryl)acetic acid,,((4-Phenylbutyl)hydroxyphosphoryl)acetic acid,[],[],,13102401,O=C(O)CP(=O)(O)CCCCc1ccccc1,"InChI=1S/C12H17O4P/c13-12(14)10-17(15,16)9-5-4-8-11-6-2-1-3-7-11/h1-3,6-7H,4-5,8-10H2,(H,13,14)(H,15,16)",WRXLMKMDSUIHDK-UHFFFAOYSA-N,C12H17O4P,256.23799999999994,defined_single_substance,resolved,true,qsar,null,"{""identity_verification"":{""cid"":13102401,""method"":""pubchem_cid_direct_structure"",""source"":""PubChem PUG REST"",""screening_envelope"":{""mw"":[30.0,500.0],""heavy_atoms"":[2,36]}},""offline_seed"":""pubchem-registry-20260724-v1""}",verified,1
(+)-glycidol,,(+)-Glycidol,[],[],,5460455,OC[C@@H]1CO1,"InChI=1S/C3H6O2/c4-1-3-2-5-3/h3-4H,1-2H2/t3-/m1/s1",CTKINSOISVBQLD-GSVOUGTGSA-N,C3H6O2,74.079,defined_single_substance,resolved,true,qsar,null,"{""identity_verification"":{""cid"":5460455,""method"":""pubchem_cid_direct_structure"",""source"":""PubChem PUG REST"",""screening_envelope"":{""mw"":[30.0,500.0],""heavy_atoms"":[2,36]}},""offline_seed"":""pubchem-registry-20260724-v1""}",verified,1
(+)-lysergic acid diethylamide,,(+)-Lysergic acid diethylamide,[],[],,5761,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,"InChI=1S/C20H25N3O/c1-4-23(5-2)20(24)14-9-16-15-7-6-8-17-19(15)13(11-21-17)10-18(16)22(3)12-14/h6-9,11,14,18,21H,4-5,10,12H2,1-3H3/t14-,18-/m1/s1",VAYOSLLFUXYJDT-RDTXWAMCSA-N,C20H25N3O,323.4400000000001,defined_single_substance,resolved,true,qsar,null,"{""identity_verification"":{""cid"":5761,""method"":""pubchem_cid_direct_structure"",""source"":""PubChem PUG REST"",""screening_envelope"":{""mw"":[30.0,500.0],""heavy_atoms"":[2,36]}},""offline_seed"":""pubchem-registry-20260724-v1""}",verified,1
(-)-epichlorohydrin,,(-)-Epichlorohydrin,[],[],,2734062,ClC[C@H]1CO1,"InChI=1S/C3H5ClO/c4-1-3-2-5-3/h3H,1-2H2/t3-/m0/s1",BRLQWZUYTZBJKN-VKHMYHEASA-N,C3H5ClO,92.525,defined_single_substance,resolved,true,qsar,null,"{""identity_verification"":{""cid"":2734062,""method"":""pubchem_cid_direct_structure"",""source"":""PubChem PUG REST"",""screening_envelope"":{""mw"":[30.0,500.0],""heavy_atoms"":[2,36]}},""offline_seed"":""pubchem-registry-20260724-v1""}",verified,1
(-)-trans-4-(4'-fluorophenyl)-3-hydroxymethyl-n-methylpiperidine,,(-)-trans-4-(4'-Fluorophenyl)-3-hydroxymethyl-N-methylpiperidine,[],[],,2734218,CN1CC[C@@H](c2ccc(F)cc2)[C@H](CO)C1,"InChI=1S/C13H18FNO/c1-15-7-6-13(11(8-15)9-16)10-2-4-12(14)5-3-10/h2-5,11,13,16H,6-9H2,1H3/t11-,13-/m0/s1",CXRHUYYZISIIMT-AAEUAGOBSA-N,C13H18FNO,223.291,defined_single_substance,resolved,true,qsar,null,"{""identity_verification"":{""cid"":2734218,""method"":""pubchem_cid_direct_structure"",""source"":""PubChem PUG REST"",""screening_envelope"":{""mw"":[30.0,500.0],""heavy_atoms"":[2,36]}},""offline_seed"":""pubchem-registry-20260724-v1""}",verified,1
"(1,1'-biphenyl)-2-ol",,"(1,1'-Biphenyl)-2-ol",[],[],,7017,Oc1ccccc1-c1ccccc1,"InChI=1S/C12H10O/c13-12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9,13H",LLEMOWNGBBNAJR-UHFFFAOYSA-N,C12H10O,170.21099999999996,defined_single_substance,resolved,true,qsar,null,"{""identity_verification"":{""cid"":7017,""method"":""pubchem_cid_direct_structure"",""source"":""PubChem PUG REST"",""screening_envelope"":{""mw"":[30.0,500.0],""heavy_atoms"":[2,36]}},""offline_seed"":""pubchem-registry-20260724-v1""}",verified,1
"(1r,2s)-(+)-cis-1-amino-2-indanol",,"(1R,2S)-(+)-cis-1-Amino-2-indanol",[],[],,2725045,N[C@@H]1c2ccccc2C[C@@H]1O,"InChI=1S/C9H11NO/c10-9-7-4-2-1-3-6(7)5-8(9)11/h1-4,8-9,11H,5,10H2/t8-,9+/m0/s1",LOPKSXMQWBYUOI-DTWKUNHWSA-N,C9H11NO,149.19299999999996,defined_single_substance,resolved,true,qsar,null,"{""identity_verification"":{""cid"":2725045,""method"":""pubchem_cid_direct_structure"",""source"":""PubChem PUG REST"",""screening_envelope"":{""mw"":[30.0,500.0],""heavy_atoms"":[2,36]}},""offline_seed"":""pubchem-registry-20260724-v1""}",verified,1
"(1r,3s,7r,8r,10r,13r)-5,5,7,9,9,13-hexamethyl-4,6-dioxatetracyclo(6.5.1.01,10.03,7)tetradecane",,"(1R,3S,7R,8R,10R,13R)-5,5,7,9,9,13-hexamethyl-4,6-dioxatetracyclo(6.5.1.01,10.03,7)tetradecane",[],[],,139598020,C[C@@H]1CC[C@@H]2C(C)(C)[C@H]3C[C@@]12C[C@@H]1OC(C)(C)O[C@@]13C,"InChI=1S/C18H30O2/c1-11-7-8-12-15(2,3)13-9-18(11,12)10-14-17(13,6)20-16(4,5)19-14/h11-14H,7-10H2,1-6H3/t11-,12-,13-,14+,17-,18-/m1/s1",YJVLDTISLGRQTJ-DVWBNXDFSA-N,C18H30O2,278.436,defined_single_substance,resolved,true,qsar,null,"{""identity_verification"":{""cid"":139598020,""method"":""pubchem_cid_direct_structure"",""source"":""PubChem PUG REST"",""screening_envelope"":{""mw"":[30.0,500.0],""heavy_atoms"":[2,36]}},""offline_seed"":""pubchem-registry-20260724-v1""}",verified,1
