smiles,label,name,inchikey,casrn,source,source_url,evidence_ids,mapping_rules,label_quality,sample_weight,study_type,method,result,reliability,source_record_id,source_sha256,source_repository,source_commit,provided_identity
CC[N+](C)(C)Cc1ccccc1Br,0,59-41-6,AAQOQKQBGPPFNS-UHFFFAOYSA-N,59-41-6,STopTox peer-reviewed curated experimental irritation dataset,https://doi.org/10.1289/EHP9341,"[""eye:CpId:1036""]","[""explicit_curated_experimental_outcome_0"", ""absence_of_hazard_statement_not_used"", ""defined_single_structure"", ""exact_identity_deduplicated"", ""current_strong_conflicts_excluded"", ""external_holdout_quarantined"", ""publication_dataset_oecd_405_curation""]",peer_reviewed_curated_experimental_negative,0.9,experimental,"OECD TG 405 experimental eye irritation, curated at dataset level",not irritating / not classified (curated Outcome=0),not_reported_per_record_in_public_sdf,eye:CpId:1036,03dc5888f0859ddcc1b694e186bb2137229ea571e3db56572205f482794de03d,https://github.com/joyvb/stoptox,6ba3a7f82ab9fda8534f120114a566eec296e8ae,"InChI=1S/C11H17BrN/c1-4-13(2,3)9-10-7-5-6-8-11(10)12/h5-8H,4,9H2,1-3H3/q+1"
CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,0,101828-21-1,ABJKWBDEJIDSJZ-UHFFFAOYSA-N,101828-21-1,STopTox peer-reviewed curated experimental irritation dataset,https://doi.org/10.1289/EHP9341,"[""eye:CpId:1038""]","[""explicit_curated_experimental_outcome_0"", ""absence_of_hazard_statement_not_used"", ""defined_single_structure"", ""exact_identity_deduplicated"", ""current_strong_conflicts_excluded"", ""external_holdout_quarantined"", ""publication_dataset_oecd_405_curation""]",peer_reviewed_curated_experimental_negative,0.9,experimental,"OECD TG 405 experimental eye irritation, curated at dataset level",not irritating / not classified (curated Outcome=0),not_reported_per_record_in_public_sdf,eye:CpId:1038,03dc5888f0859ddcc1b694e186bb2137229ea571e3db56572205f482794de03d,https://github.com/joyvb/stoptox,6ba3a7f82ab9fda8534f120114a566eec296e8ae,"InChI=1S/C23H27N/c1-23(2,3)21-14-12-18(13-15-21)16-24(4)17-20-10-7-9-19-8-5-6-11-22(19)20/h5-15H,16-17H2,1-4H3"
CCCCCCCCCCCCCCCCCCOC(=O)CCCCCC,0,66009-41-4,ABTZKZVAJTXGNN-UHFFFAOYSA-N,66009-41-4,STopTox peer-reviewed curated experimental irritation dataset,https://doi.org/10.1289/EHP9341,"[""eye:CpId:1039""]","[""explicit_curated_experimental_outcome_0"", ""absence_of_hazard_statement_not_used"", ""defined_single_structure"", ""exact_identity_deduplicated"", ""current_strong_conflicts_excluded"", ""external_holdout_quarantined"", ""publication_dataset_oecd_405_curation""]",peer_reviewed_curated_experimental_negative,0.9,experimental,"OECD TG 405 experimental eye irritation, curated at dataset level",not irritating / not classified (curated Outcome=0),not_reported_per_record_in_public_sdf,eye:CpId:1039,03dc5888f0859ddcc1b694e186bb2137229ea571e3db56572205f482794de03d,https://github.com/joyvb/stoptox,6ba3a7f82ab9fda8534f120114a566eec296e8ae,"InChI=1S/C25H50O2/c1-3-5-7-9-10-11-12-13-14-15-16-17-18-19-20-22-24-27-25(26)23-21-8-6-4-2/h3-24H2,1-2H3"
O=P(O)(O)C(Cl)(Cl)P(=O)(O)O,0,10596-23-3,ACSIXWWBWUQEHA-UHFFFAOYSA-N,10596-23-3,STopTox peer-reviewed curated experimental irritation dataset,https://doi.org/10.1289/EHP9341,"[""eye:CpId:1043""]","[""explicit_curated_experimental_outcome_0"", ""absence_of_hazard_statement_not_used"", ""defined_single_structure"", ""exact_identity_deduplicated"", ""current_strong_conflicts_excluded"", ""external_holdout_quarantined"", ""publication_dataset_oecd_405_curation""]",peer_reviewed_curated_experimental_negative,0.9,experimental,"OECD TG 405 experimental eye irritation, curated at dataset level",not irritating / not classified (curated Outcome=0),not_reported_per_record_in_public_sdf,eye:CpId:1043,03dc5888f0859ddcc1b694e186bb2137229ea571e3db56572205f482794de03d,https://github.com/joyvb/stoptox,6ba3a7f82ab9fda8534f120114a566eec296e8ae,"InChI=1S/CH4Cl2O6P2/c2-1(3,10(4,5)6)11(7,8)9/h(H2,4,5,6)(H2,7,8,9)"
O=C(O)C(S)C(S)C(=O)O,0,304-55-2,ACTRVOBWPAIOHC-UHFFFAOYSA-N,304-55-2,STopTox peer-reviewed curated experimental irritation dataset,https://doi.org/10.1289/EHP9341,"[""eye:CpId:1044""]","[""explicit_curated_experimental_outcome_0"", ""absence_of_hazard_statement_not_used"", ""defined_single_structure"", ""exact_identity_deduplicated"", ""current_strong_conflicts_excluded"", ""external_holdout_quarantined"", ""publication_dataset_oecd_405_curation""]",peer_reviewed_curated_experimental_negative,0.9,experimental,"OECD TG 405 experimental eye irritation, curated at dataset level",not irritating / not classified (curated Outcome=0),not_reported_per_record_in_public_sdf,eye:CpId:1044,03dc5888f0859ddcc1b694e186bb2137229ea571e3db56572205f482794de03d,https://github.com/joyvb/stoptox,6ba3a7f82ab9fda8534f120114a566eec296e8ae,"InChI=1S/C4H6O4S2/c5-3(6)1(9)2(10)4(7)8/h1-2,9-10H,(H,5,6)(H,7,8)"
CCCCCCC(O)CO,0,1117-86-8,AEIJTFQOBWATKX-UHFFFAOYSA-N,1117-86-8,STopTox peer-reviewed curated experimental irritation dataset,https://doi.org/10.1289/EHP9341,"[""eye:CpId:2""]","[""explicit_curated_experimental_outcome_0"", ""absence_of_hazard_statement_not_used"", ""defined_single_structure"", ""exact_identity_deduplicated"", ""current_strong_conflicts_excluded"", ""external_holdout_quarantined"", ""publication_dataset_oecd_405_curation""]",peer_reviewed_curated_experimental_negative,0.9,experimental,"OECD TG 405 experimental eye irritation, curated at dataset level",not irritating / not classified (curated Outcome=0),not_reported_per_record_in_public_sdf,eye:CpId:2,03dc5888f0859ddcc1b694e186bb2137229ea571e3db56572205f482794de03d,https://github.com/joyvb/stoptox,6ba3a7f82ab9fda8534f120114a566eec296e8ae,AEIJTFQOBWATKX-UHFFFAOYSA-N
NC1CC1c1ccccc1,0,95-62-5,AELCINSCMGFISI-UHFFFAOYSA-N,95-62-5,STopTox peer-reviewed curated experimental irritation dataset,https://doi.org/10.1289/EHP9341,"[""eye:CpId:1049""]","[""explicit_curated_experimental_outcome_0"", ""absence_of_hazard_statement_not_used"", ""defined_single_structure"", ""exact_identity_deduplicated"", ""current_strong_conflicts_excluded"", ""external_holdout_quarantined"", ""publication_dataset_oecd_405_curation""]",peer_reviewed_curated_experimental_negative,0.9,experimental,"OECD TG 405 experimental eye irritation, curated at dataset level",not irritating / not classified (curated Outcome=0),not_reported_per_record_in_public_sdf,eye:CpId:1049,03dc5888f0859ddcc1b694e186bb2137229ea571e3db56572205f482794de03d,https://github.com/joyvb/stoptox,6ba3a7f82ab9fda8534f120114a566eec296e8ae,"InChI=1S/C9H11N/c10-9-6-8(9)7-4-2-1-3-5-7/h1-5,8-9H,6,10H2"
O=C(O)C1OC(O)C(O)C(O)C1O,0,14982-50-4 9046-38-2,AEMOLEFTQBMNLQ-UHFFFAOYSA-N,14982-50-4 9046-38-2,STopTox peer-reviewed curated experimental irritation dataset,https://doi.org/10.1289/EHP9341,"[""eye:CpId:1050""]","[""explicit_curated_experimental_outcome_0"", ""absence_of_hazard_statement_not_used"", ""defined_single_structure"", ""exact_identity_deduplicated"", ""current_strong_conflicts_excluded"", ""external_holdout_quarantined"", ""publication_dataset_oecd_405_curation""]",peer_reviewed_curated_experimental_negative,0.9,experimental,"OECD TG 405 experimental eye irritation, curated at dataset level",not irritating / not classified (curated Outcome=0),not_reported_per_record_in_public_sdf,eye:CpId:1050,03dc5888f0859ddcc1b694e186bb2137229ea571e3db56572205f482794de03d,https://github.com/joyvb/stoptox,6ba3a7f82ab9fda8534f120114a566eec296e8ae,"InChI=1S/C6H10O7/c7-1-2(8)4(5(10)11)13-6(12)3(1)9/h1-4,6-9,12H,(H,10,11)"
CCc1cc(C(N)=S)ccn1,0,536-33-4,AEOCXXJPGCBFJA-UHFFFAOYSA-N,536-33-4,STopTox peer-reviewed curated experimental irritation dataset,https://doi.org/10.1289/EHP9341,"[""eye:CpId:1051""]","[""explicit_curated_experimental_outcome_0"", ""absence_of_hazard_statement_not_used"", ""defined_single_structure"", ""exact_identity_deduplicated"", ""current_strong_conflicts_excluded"", ""external_holdout_quarantined"", ""publication_dataset_oecd_405_curation""]",peer_reviewed_curated_experimental_negative,0.9,experimental,"OECD TG 405 experimental eye irritation, curated at dataset level",not irritating / not classified (curated Outcome=0),not_reported_per_record_in_public_sdf,eye:CpId:1051,03dc5888f0859ddcc1b694e186bb2137229ea571e3db56572205f482794de03d,https://github.com/joyvb/stoptox,6ba3a7f82ab9fda8534f120114a566eec296e8ae,"InChI=1S/C8H10N2S/c1-2-7-5-6(8(9)11)3-4-10-7/h3-5H,2H2,1H3,(H2,9,11)"
CCC(CO)NCCNC(CC)CO,0,74-55-5,AEUTYOVWOVBAKS-UHFFFAOYSA-N,74-55-5,STopTox peer-reviewed curated experimental irritation dataset,https://doi.org/10.1289/EHP9341,"[""eye:CpId:1052""]","[""explicit_curated_experimental_outcome_0"", ""absence_of_hazard_statement_not_used"", ""defined_single_structure"", ""exact_identity_deduplicated"", ""current_strong_conflicts_excluded"", ""external_holdout_quarantined"", ""publication_dataset_oecd_405_curation""]",peer_reviewed_curated_experimental_negative,0.9,experimental,"OECD TG 405 experimental eye irritation, curated at dataset level",not irritating / not classified (curated Outcome=0),not_reported_per_record_in_public_sdf,eye:CpId:1052,03dc5888f0859ddcc1b694e186bb2137229ea571e3db56572205f482794de03d,https://github.com/joyvb/stoptox,6ba3a7f82ab9fda8534f120114a566eec296e8ae,"InChI=1S/C10H24N2O2/c1-3-9(7-13)11-5-6-12-10(4-2)8-14/h9-14H,3-8H2,1-2H3"
