smiles,label,sample_weight,source,source_url,paper_doi,evidence_ids,test_type,reliability_rating,preferred_name,casrn,dtxsid
BrC=Cc1ccccc1,0,0.8,NICEATM HPPT Database (2023),https://ntp.niehs.nih.gov/iccvam/methods/immunotox/hppt/hppt_database_14feb2023.xlsx,https://doi.org/10.1007/s00204-023-03530-3,HPPT Record.No 141,Human Maximization Test,3,(2-Bromovinyl)benzene,103-64-0,DTXSID501014586
C#CC(C)(O)CCC=C(C)C,0,0.8,NICEATM HPPT Database (2023),https://ntp.niehs.nih.gov/iccvam/methods/immunotox/hppt/hppt_database_14feb2023.xlsx,https://doi.org/10.1007/s00204-023-03530-3,HPPT Record.No 1011,Human Maximization Test,3,Dehydrolinalool,29171-20-8,DTXSID6057588
C#CC1(OC(C)=O)CCCCC1,0,0.8,NICEATM HPPT Database (2023),https://ntp.niehs.nih.gov/iccvam/methods/immunotox/hppt/hppt_database_14feb2023.xlsx,https://doi.org/10.1007/s00204-023-03530-3,HPPT Record.No 1258;1259,Human Repeat Insult Patch Test,3,"Cyclohexanol, 1-ethynyl-, 1-acetate",5240-32-4,DTXSID40863510
C#CC1(OC(C)=O)CCCCC1C(C)CC,0,0.8,NICEATM HPPT Database (2023),https://ntp.niehs.nih.gov/iccvam/methods/immunotox/hppt/hppt_database_14feb2023.xlsx,https://doi.org/10.1007/s00204-023-03530-3,HPPT Record.No 1103,Human Maximization Test,3,"Cyclohexanol, 1-ethynyl-2-(1-methylpropyl)-, 1-acetate",37172-05-7,DTXSID00865853
C=C(C)C(=O)OC,0,0.6,NICEATM HPPT Database (2023),https://ntp.niehs.nih.gov/iccvam/methods/immunotox/hppt/hppt_database_14feb2023.xlsx,https://doi.org/10.1007/s00204-023-03530-3,HPPT Record.No 1825,Human Repeat Insult Patch Test,4,Methyl methacrylate,80-62-6,DTXSID2020844
C=C(C)C(=O)OCCCCCCC,0,0.8,NICEATM HPPT Database (2023),https://ntp.niehs.nih.gov/iccvam/methods/immunotox/hppt/hppt_database_14feb2023.xlsx,https://doi.org/10.1007/s00204-023-03530-3,HPPT Record.No 1324,Human Maximization Test,3,Heptyl methacrylate,5459-37-0,DTXSID8063911
C=C(C)C(=O)OCCc1ccccc1,0,0.8,NICEATM HPPT Database (2023),https://ntp.niehs.nih.gov/iccvam/methods/immunotox/hppt/hppt_database_14feb2023.xlsx,https://doi.org/10.1007/s00204-023-03530-3,HPPT Record.No 1101;1102,Human Repeat Insult Patch Test,3,2-Phenylethyl methacrylate,3683-12-3,DTXSID7063134
C=C(C)C(CC=C(C)C)COC(C)=O,0,0.8,NICEATM HPPT Database (2023),https://ntp.niehs.nih.gov/iccvam/methods/immunotox/hppt/hppt_database_14feb2023.xlsx,https://doi.org/10.1007/s00204-023-03530-3,HPPT Record.No 980,Human Maximization Test,3,Lavandulyl acetate,25905-14-0,DTXSID30904865
C=C(C)C(CO)CC=C(C)C,0,0.8,NICEATM HPPT Database (2023),https://ntp.niehs.nih.gov/iccvam/methods/immunotox/hppt/hppt_database_14feb2023.xlsx,https://doi.org/10.1007/s00204-023-03530-3,HPPT Record.No 1217,Human Maximization Test,3,Lavandulol,498-16-8,DTXSID001017547
C=C(C)C1CC=C(C)C(O)C1,0,0.8,NICEATM HPPT Database (2023),https://ntp.niehs.nih.gov/iccvam/methods/immunotox/hppt/hppt_database_14feb2023.xlsx,https://doi.org/10.1007/s00204-023-03530-3,HPPT Record.No 2011,Human Maximization Test,3,Carveol,99-48-9,DTXSID3024736
C=C(C)C1CC=C(C)C(OC(=O)CC)C1,0,0.8,NICEATM HPPT Database (2023),https://ntp.niehs.nih.gov/iccvam/methods/immunotox/hppt/hppt_database_14feb2023.xlsx,https://doi.org/10.1007/s00204-023-03530-3,HPPT Record.No 1990,Human Maximization Test,3,"2-Cyclohexen-1-ol, 2-methyl-5-(1-methylethenyl)-, 1-propanoate",97-45-0,DTXSID30861702
C=C(C)C1CC=C(C)C(OC(C)=O)C1,0,0.8,NICEATM HPPT Database (2023),https://ntp.niehs.nih.gov/iccvam/methods/immunotox/hppt/hppt_database_14feb2023.xlsx,https://doi.org/10.1007/s00204-023-03530-3,HPPT Record.No 521,Human Maximization Test,3,cis-2-Methyl-5-(1-methylvinyl)cyclohex-2-en-1-yl acetate,1205-42-1,DTXSID401014557
