record_id,compound_name,pubchem_cid,cas_number,raw_smiles,smiles,inchi,inchikey,endpoint,candidate_label,label_status,label_quality,evidence_type,evidence_subtype,hazard_codes,measurement_type,measurement_value,measurement_unit,baseline_value,control_value,statistical_significance,exposure_route,exposure_concentration,concentration_unit,exposure_duration,duration_unit,exposure_frequency,test_system,species,model_name,source_name,source_id,source_url,doi,publication_year,source_quality,evidence_tier,sample_weight,review_status,reviewer,reviewer_note,reviewed_at,retrieved_at,raw_file,raw_sha256,evidence_fingerprint,label,identity_key,training_origin,exposure_signature
literature:pmid24063883:isopropyl-myristate,Isopropyl myristate,,110-27-0,,CCCCCCCCCCCCCC(=O)OC(C)C,,,skin_dryness,0.0,direct_verified,direct_experimental,human_occluded_patch,no_significant_tewl_increase,,TEWL,,,,,,,,,24 hours,,,,,,European Journal of Pharmaceutical Sciences,PMID:24063883,https://pubmed.ncbi.nlm.nih.gov/24063883/,,,primary_article,A,1.0,verified,,,,,,,58a915c9ea40bd025cad2a1392b09045620016ccec7a5503c008db6d0f580dc6,0,AXISYYRBXTVTFY-UHFFFAOYSA-N,direct_experimental,unspecified|unspecified|unspecified|24 hours|unspecified|unspecified|tewl|unspecified|unspecified
literature:pmid29607504:propanol,1-Propanol,,71-23-8,,CCCO,,,skin_dryness,1.0,direct_verified,direct_experimental,repeated_human_exposure,hydration_decrease,,skin hydration,,,,,,,,,96 hours,,,,,,Contact Dermatitis,PMID:29607504,https://pubmed.ncbi.nlm.nih.gov/29607504/,,,primary_article,A,1.0,verified,,,,,,,3e3aaecf7e0216692fcef99c932d3572440c148db571f189307cd17b3e29eef3,1,BDERNNFJNOPAEC-UHFFFAOYSA-N,direct_experimental,unspecified|unspecified|unspecified|96 hours|unspecified|unspecified|skin hydration|unspecified|unspecified
literature:pmid24063883:propylene-glycol-laurate,Propylene glycol monolaurate,,142-55-2,,CCCCCCCCCCCC(=O)OCC(C)O,,,skin_dryness,0.0,direct_verified,direct_experimental,human_occluded_patch,no_significant_tewl_increase,,TEWL,,,,,,,,,24 hours,,,,,,European Journal of Pharmaceutical Sciences,PMID:24063883,https://pubmed.ncbi.nlm.nih.gov/24063883/,,,primary_article,A,1.0,verified,,,,,,,22c746b52f076d8075db4d9cb785cba033ad93d33d4bf43207b3d0c2339f15bd,0,BHIZVZJETFVJMJ-UHFFFAOYSA-N,direct_experimental,unspecified|unspecified|unspecified|24 hours|unspecified|unspecified|tewl|unspecified|unspecified
literature:pmid8409532:acetone,Acetone,180.0,67-64-1,CC(=O)C,CC(C)=O,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,CSCPPACGZOOCGX-UHFFFAOYSA-N,skin_dryness,0.0,direct_verified,direct_experimental,direct_experimental,no_significant_tewl_increase,,TEWL / skin barrier function,no significant difference,study-reported,study baseline,water and unexposed skin,No TEWL difference from water-treated and unexposed controls was reported.,dermal,neat solvent,not applicable,1-12,minutes,single exposure,excised human skin,human,,Journal of Investigative Dermatology,PMID:8409532,https://pubmed.ncbi.nlm.nih.gov/8409532/,,1993.0,primary_article,A,1.0,verified,RalphGuard evidence mapping v2,Explicit experimental negative at the stated short exposure; absence of other evidence was not used.,2026-08-20,2026-08-20T16:18:14.828506+00:00,not_committed_pubmed_xml,eeb61a0e7e81a2d96edd2a46506e84250180ef7f4ca7bea2cb75a8ab5686ae85,99432d4b03b2a934d647277623d9b2d1473d7fbc42234b4705713152ade4a97d,0,CSCPPACGZOOCGX-UHFFFAOYSA-N,direct_experimental,dermal|neat solvent|not applicable|1-12|minutes|single exposure|tewl / skin barrier function|excised human skin|human
clp:607-026-00-7:105-46-4,Sec-Butyl acetate,7758.0,105-46-4,,CCC(C)OC(C)=O,,DCKVNWZUADLDEH-UHFFFAOYSA-N,skin_dryness,1.0,weak_positive,regulatory_weak_positive,regulatory_skin_dryness,regulatory_euh066,,regulatory dryness/cracking statement,,,,,,,,,repeated exposure; concentration not encoded by EUH066,,,,,,CLP Regulation Annex VI Table 3.1 (EUH066),607-026-00-7,https://ust.is/library/Skrar/Atvinnulif/Efni/Flokkun-og-merkingar/CLP-annex_vi_tafla_3-1.pdf,,,regulatory_annex,C,0.5,verified,,,,,,,7f005d7bc95910b9d27eeecf31039789d5cff65fd7412617081df1c9f7090057,1,DCKVNWZUADLDEH-UHFFFAOYSA-N,regulatory_weak_positive,unspecified|unspecified|unspecified|repeated exposure; concentration not encoded by euh066|unspecified|unspecified|regulatory dryness/cracking statement|unspecified|unspecified
clp:607-025-00-1:123-86-4,Butyl Acetate,31272.0,123-86-4,,CCCCOC(C)=O,,DKPFZGUDAPQIHT-UHFFFAOYSA-N,skin_dryness,1.0,weak_positive,regulatory_weak_positive,regulatory_skin_dryness,regulatory_euh066,,regulatory dryness/cracking statement,,,,,,,,,repeated exposure; concentration not encoded by EUH066,,,,,,CLP Regulation Annex VI Table 3.1 (EUH066),607-025-00-1,https://ust.is/library/Skrar/Atvinnulif/Efni/Flokkun-og-merkingar/CLP-annex_vi_tafla_3-1.pdf,,,regulatory_annex,C,0.5,verified,,,,,,,dbb748a68b40b365cf8b9bef0c252f4fb0b84c5aeadfbbe78d3d4da4589172be,1,DKPFZGUDAPQIHT-UHFFFAOYSA-N,regulatory_weak_positive,unspecified|unspecified|unspecified|repeated exposure; concentration not encoded by euh066|unspecified|unspecified|regulatory dryness/cracking statement|unspecified|unspecified
literature:pmid24063883:propylene-glycol,Propylene glycol,,57-55-6,,CC(O)CO,,,skin_dryness,1.0,direct_verified,direct_experimental,human_occluded_patch,tewl_increase,,TEWL,,,,,,,,,24 hours,,,,,,European Journal of Pharmaceutical Sciences,PMID:24063883,https://pubmed.ncbi.nlm.nih.gov/24063883/,,,primary_article,A,1.0,verified,,,,,,,84b69e15485c6398bcaef225c14765b313cf47343da9a5d6f170ca3324ab01c7,1,DNIAPMSPPWPWGF-UHFFFAOYSA-N,direct_experimental,unspecified|unspecified|unspecified|24 hours|unspecified|unspecified|tewl|unspecified|unspecified
clp:606-006-00-5:96-22-0,Ethyl ketone,7288.0,96-22-0,,CCC(=O)CC,,FDPIMTJIUBPUKL-UHFFFAOYSA-N,skin_dryness,1.0,weak_positive,regulatory_weak_positive,regulatory_skin_dryness,regulatory_euh066,,regulatory dryness/cracking statement,,,,,,,,,repeated exposure; concentration not encoded by EUH066,,,,,,CLP Regulation Annex VI Table 3.1 (EUH066),606-006-00-5,https://ust.is/library/Skrar/Atvinnulif/Efni/Flokkun-og-merkingar/CLP-annex_vi_tafla_3-1.pdf,,,regulatory_annex,C,0.5,verified,,,,,,,6dd512eb8003ae3118fc198236e8d5231ff3b7e14006cb9330339960617414ac,1,FDPIMTJIUBPUKL-UHFFFAOYSA-N,regulatory_weak_positive,unspecified|unspecified|unspecified|repeated exposure; concentration not encoded by euh066|unspecified|unspecified|regulatory dryness/cracking statement|unspecified|unspecified
clp:607-026-00-7:110-19-0,Isobutyl Acetate,8038.0,110-19-0,,CC(=O)OCC(C)C,,GJRQTCIYDGXPES-UHFFFAOYSA-N,skin_dryness,1.0,weak_positive,regulatory_weak_positive,regulatory_skin_dryness,regulatory_euh066,,regulatory dryness/cracking statement,,,,,,,,,repeated exposure; concentration not encoded by EUH066,,,,,,CLP Regulation Annex VI Table 3.1 (EUH066),607-026-00-7,https://ust.is/library/Skrar/Atvinnulif/Efni/Flokkun-og-merkingar/CLP-annex_vi_tafla_3-1.pdf,,,regulatory_annex,C,0.5,verified,,,,,,,407db8d66930f1494d9245001fd86c4645790710e3d144ae6cf046526b89b512,1,GJRQTCIYDGXPES-UHFFFAOYSA-N,regulatory_weak_positive,unspecified|unspecified|unspecified|repeated exposure; concentration not encoded by euh066|unspecified|unspecified|regulatory dryness/cracking statement|unspecified|unspecified
clp:607-130-00-2:626-38-0,2-Pentyl acetate,12278.0,626-38-0,,CCCC(C)OC(C)=O,,GQKZRWSUJHVIPE-UHFFFAOYSA-N,skin_dryness,1.0,weak_positive,regulatory_weak_positive,regulatory_skin_dryness,regulatory_euh066,,regulatory dryness/cracking statement,,,,,,,,,repeated exposure; concentration not encoded by EUH066,,,,,,CLP Regulation Annex VI Table 3.1 (EUH066),607-130-00-2,https://ust.is/library/Skrar/Atvinnulif/Efni/Flokkun-og-merkingar/CLP-annex_vi_tafla_3-1.pdf,,,regulatory_annex,C,0.5,verified,,,,,,,8aeb0a370643d58a6f91d3df4056a58872051fd39a70087ed46dd2550041edf9,1,GQKZRWSUJHVIPE-UHFFFAOYSA-N,regulatory_weak_positive,unspecified|unspecified|unspecified|repeated exposure; concentration not encoded by euh066|unspecified|unspecified|regulatory dryness/cracking statement|unspecified|unspecified
