smiles,label,name,inchikey,casrn,source,source_url,evidence_ids,mapping_rules,label_quality,sample_weight,study_type,method,result,reliability,source_record_id,source_sha256,source_repository,source_commit,provided_identity
COc1ccccc1OC,0,"1,2-dimethoxybenzene",ABDKAPXRBAPSQN-UHFFFAOYSA-N,91-16-7,STopTox peer-reviewed curated experimental irritation dataset,https://doi.org/10.1289/EHP9341,"[""skin:id_input:1737""]","[""explicit_curated_experimental_outcome_0"", ""absence_of_hazard_statement_not_used"", ""defined_single_structure"", ""exact_identity_deduplicated"", ""current_strong_conflicts_excluded"", ""external_holdout_quarantined"", ""oecd_404_or_whitelisted_equivalent""]",peer_reviewed_curated_experimental_negative,0.9,experimental,OECD Guideline 404 (Acute Dermal Irritation / Corrosion),not irritating / not classified (curated Outcome=0),not_reported_per_record_in_public_sdf,skin:id_input:1737,c854fdea20b43b5ee2d392b42d0185eb928daf9d2a32129ac6603cf6ed53b68c,https://github.com/joyvb/stoptox,6ba3a7f82ab9fda8534f120114a566eec296e8ae,ABDKAPXRBAPSQN-UHFFFAOYSA-N
O=C1CCCC=CCCCCCCCCCC1,0,(5Z)-cyclohexadec-5-en-1-one,ABRIMXGLNHCLIP-UHFFFAOYSA-N,37609-25-9,STopTox peer-reviewed curated experimental irritation dataset,https://doi.org/10.1289/EHP9341,"[""skin:id_input:132""]","[""explicit_curated_experimental_outcome_0"", ""absence_of_hazard_statement_not_used"", ""defined_single_structure"", ""exact_identity_deduplicated"", ""current_strong_conflicts_excluded"", ""external_holdout_quarantined"", ""oecd_404_or_whitelisted_equivalent""]",peer_reviewed_curated_experimental_negative,0.9,experimental,OECD Guideline 404 (Acute Dermal Irritation / Corrosion),not irritating / not classified (curated Outcome=0),not_reported_per_record_in_public_sdf,skin:id_input:132,c854fdea20b43b5ee2d392b42d0185eb928daf9d2a32129ac6603cf6ed53b68c,https://github.com/joyvb/stoptox,6ba3a7f82ab9fda8534f120114a566eec296e8ae,ABRIMXGLNHCLIP-SOFGYWHQSA-N
NS(=O)(=O)c1ccccc1C(F)(F)F,0,unnamed [1869-24-5],AFFPZJFLSDVZBV-UHFFFAOYSA-N,1869-24-5,STopTox peer-reviewed curated experimental irritation dataset,https://doi.org/10.1289/EHP9341,"[""skin:id_input:5346""]","[""explicit_curated_experimental_outcome_0"", ""absence_of_hazard_statement_not_used"", ""defined_single_structure"", ""exact_identity_deduplicated"", ""current_strong_conflicts_excluded"", ""external_holdout_quarantined"", ""oecd_404_or_whitelisted_equivalent""]",peer_reviewed_curated_experimental_negative,0.9,experimental,OECD Guideline 404 (Acute Dermal Irritation / Corrosion),not irritating / not classified (curated Outcome=0),not_reported_per_record_in_public_sdf,skin:id_input:5346,c854fdea20b43b5ee2d392b42d0185eb928daf9d2a32129ac6603cf6ed53b68c,https://github.com/joyvb/stoptox,6ba3a7f82ab9fda8534f120114a566eec296e8ae,AFFPZJFLSDVZBV-UHFFFAOYSA-N
CCC(C)C(N)C(=O)O,0,(2S)-2-amino-3-methylpentanoic acid,AGPKZVBTJJNPAG-UHFFFAOYSA-N,73-32-5,STopTox peer-reviewed curated experimental irritation dataset,https://doi.org/10.1289/EHP9341,"[""skin:id_input:73""]","[""explicit_curated_experimental_outcome_0"", ""absence_of_hazard_statement_not_used"", ""defined_single_structure"", ""exact_identity_deduplicated"", ""current_strong_conflicts_excluded"", ""external_holdout_quarantined"", ""oecd_404_or_whitelisted_equivalent""]",peer_reviewed_curated_experimental_negative,0.9,experimental,OECD Guideline 404 (Acute Dermal Irritation / Corrosion),not irritating / not classified (curated Outcome=0),not_reported_per_record_in_public_sdf,skin:id_input:73,c854fdea20b43b5ee2d392b42d0185eb928daf9d2a32129ac6603cf6ed53b68c,https://github.com/joyvb/stoptox,6ba3a7f82ab9fda8534f120114a566eec296e8ae,AGPKZVBTJJNPAG-UHFFFAOYSA-N
O=C(O)c1cc2ccccc2cc1O,0,3-hydroxynaphthalene-2-carboxylic acid,ALKYHXVLJMQRLQ-UHFFFAOYSA-N,92-70-6,STopTox peer-reviewed curated experimental irritation dataset,https://doi.org/10.1289/EHP9341,"[""skin:id_input:2751""]","[""explicit_curated_experimental_outcome_0"", ""absence_of_hazard_statement_not_used"", ""defined_single_structure"", ""exact_identity_deduplicated"", ""current_strong_conflicts_excluded"", ""external_holdout_quarantined"", ""oecd_404_or_whitelisted_equivalent""]",peer_reviewed_curated_experimental_negative,0.9,experimental,OECD Guideline 404 (Acute Dermal Irritation / Corrosion),not irritating / not classified (curated Outcome=0),not_reported_per_record_in_public_sdf,skin:id_input:2751,c854fdea20b43b5ee2d392b42d0185eb928daf9d2a32129ac6603cf6ed53b68c,https://github.com/joyvb/stoptox,6ba3a7f82ab9fda8534f120114a566eec296e8ae,ALKYHXVLJMQRLQ-UHFFFAOYSA-N
CCCc1ccc(-c2ccc(-c3ccc(CC)cc3)c(F)c2F)cc1,0,unnamed [157248-25-4],ALSCPZRLSDLPES-UHFFFAOYSA-N,157248-25-4,STopTox peer-reviewed curated experimental irritation dataset,https://doi.org/10.1289/EHP9341,"[""skin:id_input:5322""]","[""explicit_curated_experimental_outcome_0"", ""absence_of_hazard_statement_not_used"", ""defined_single_structure"", ""exact_identity_deduplicated"", ""current_strong_conflicts_excluded"", ""external_holdout_quarantined"", ""oecd_404_or_whitelisted_equivalent""]",peer_reviewed_curated_experimental_negative,0.9,experimental,OECD Guideline 404 (Acute Dermal Irritation / Corrosion),not irritating / not classified (curated Outcome=0),not_reported_per_record_in_public_sdf,skin:id_input:5322,c854fdea20b43b5ee2d392b42d0185eb928daf9d2a32129ac6603cf6ed53b68c,https://github.com/joyvb/stoptox,6ba3a7f82ab9fda8534f120114a566eec296e8ae,ALSCPZRLSDLPES-UHFFFAOYSA-N
CC(=O)Nc1ccc(F)cc1-c1ccc(Cl)c(Cl)c1,0,877179-03-8,AXJVTIXMCNXNFH-UHFFFAOYSA-N,877179-03-8,STopTox peer-reviewed curated experimental irritation dataset,https://doi.org/10.1289/EHP9341,"[""skin:id_input:885""]","[""explicit_curated_experimental_outcome_0"", ""absence_of_hazard_statement_not_used"", ""defined_single_structure"", ""exact_identity_deduplicated"", ""current_strong_conflicts_excluded"", ""external_holdout_quarantined"", ""oecd_404_or_whitelisted_equivalent""]",peer_reviewed_curated_experimental_negative,0.9,experimental,EU Method B.4 (Acute Toxicity: Dermal Irritation / Corrosion),not irritating / not classified (curated Outcome=0),not_reported_per_record_in_public_sdf,skin:id_input:885,c854fdea20b43b5ee2d392b42d0185eb928daf9d2a32129ac6603cf6ed53b68c,https://github.com/joyvb/stoptox,6ba3a7f82ab9fda8534f120114a566eec296e8ae,AXJVTIXMCNXNFH-UHFFFAOYSA-N
Cc1cc(Cc2cc(C)c(O)c(C)c2)cc(C)c1O,0,"4,4'-methylenebis(2,6-dimethylphenol)",AZZWZMUXHALBCQ-UHFFFAOYSA-N,5384-21-4,STopTox peer-reviewed curated experimental irritation dataset,https://doi.org/10.1289/EHP9341,"[""skin:id_input:2808""]","[""explicit_curated_experimental_outcome_0"", ""absence_of_hazard_statement_not_used"", ""defined_single_structure"", ""exact_identity_deduplicated"", ""current_strong_conflicts_excluded"", ""external_holdout_quarantined"", ""oecd_404_or_whitelisted_equivalent""]",peer_reviewed_curated_experimental_negative,0.9,experimental,OECD Guideline 404 (Acute Dermal Irritation / Corrosion),not irritating / not classified (curated Outcome=0),not_reported_per_record_in_public_sdf,skin:id_input:2808,c854fdea20b43b5ee2d392b42d0185eb928daf9d2a32129ac6603cf6ed53b68c,https://github.com/joyvb/stoptox,6ba3a7f82ab9fda8534f120114a566eec296e8ae,AZZWZMUXHALBCQ-UHFFFAOYSA-N
O=[N+]([O-])c1cc(S(=O)(=O)Nc2ccccc2)ccc1Nc1ccccc1,0,3-nitro-N-phenyl-4-(phenylamino)benzene-1-sulfonamide,BBFRYSKTTHYWQZ-UHFFFAOYSA-N,5124-25-4,STopTox peer-reviewed curated experimental irritation dataset,https://doi.org/10.1289/EHP9341,"[""skin:id_input:2787""]","[""explicit_curated_experimental_outcome_0"", ""absence_of_hazard_statement_not_used"", ""defined_single_structure"", ""exact_identity_deduplicated"", ""current_strong_conflicts_excluded"", ""external_holdout_quarantined"", ""oecd_404_or_whitelisted_equivalent""]",peer_reviewed_curated_experimental_negative,0.9,experimental,OECD Guideline 404 (Acute Dermal Irritation / Corrosion),not irritating / not classified (curated Outcome=0),not_reported_per_record_in_public_sdf,skin:id_input:2787,c854fdea20b43b5ee2d392b42d0185eb928daf9d2a32129ac6603cf6ed53b68c,https://github.com/joyvb/stoptox,6ba3a7f82ab9fda8534f120114a566eec296e8ae,BBFRYSKTTHYWQZ-UHFFFAOYSA-N
CC(=O)N(CCN(C(C)=O)C(C)=O)C(C)=O,0,N-acetyl-N-[2-(N-acetylacetamido)ethyl]acetamide,BGRWYDHXPHLNKA-UHFFFAOYSA-N,10543-57-4,STopTox peer-reviewed curated experimental irritation dataset,https://doi.org/10.1289/EHP9341,"[""skin:id_input:3474""]","[""explicit_curated_experimental_outcome_0"", ""absence_of_hazard_statement_not_used"", ""defined_single_structure"", ""exact_identity_deduplicated"", ""current_strong_conflicts_excluded"", ""external_holdout_quarantined"", ""oecd_404_or_whitelisted_equivalent""]",peer_reviewed_curated_experimental_negative,0.9,experimental,EPA OPPTS 870.2500 (Acute Dermal Irritation),not irritating / not classified (curated Outcome=0),not_reported_per_record_in_public_sdf,skin:id_input:3474,c854fdea20b43b5ee2d392b42d0185eb928daf9d2a32129ac6603cf6ed53b68c,https://github.com/joyvb/stoptox,6ba3a7f82ab9fda8534f120114a566eec296e8ae,BGRWYDHXPHLNKA-UHFFFAOYSA-N
